WEEK,OPP,RESULT,TARGET,REC,YARD,AVG,TD,ATT,YARDR,AVG,TD,FPTS,PLAYER
1,CHI,W 34-14,10,7,108,15.4,1,0,0,-,0,16.8,Cooper Kupp
2,at IND,W 27-24,11,9,163,18.1,2,1,-5,-5,0,27.8,Cooper Kupp
3,TB,W 34-24,12,9,96,10.7,2,0,0,-,0,21.6,Cooper Kupp
4,ARI,L 20-37,13,5,64,12.8,0,0,0,-,0,6.4,Cooper Kupp
5,at SEA,W 26-17,10,7,92,13.1,0,0,0,-,0,9.2,Cooper Kupp
6,at NYG,W 38-11,12,9,130,14.4,2,0,0,-,0,25,Cooper Kupp
7,DET,W 28-19,13,10,156,15.6,2,0,0,-,0,27.6,Cooper Kupp
8,at HOU,W 38-22,9,7,115,16.4,1,0,0,-,0,17.5,Cooper Kupp
9,TEN,L 16-28,13,11,95,8.6,0,0,0,-,0,9.5,Cooper Kupp
10,at SF,L 10-31,13,11,122,11.1,0,0,0,-,0,12.2,Cooper Kupp
12,at GB,L 28-36,10,7,96,13.7,0,0,0,-,0,9.6,Cooper Kupp
13,JAC,W 37-7,10,8,129,16.1,1,0,0,-,0,18.9,Cooper Kupp
14,at ARI,W 30-23,15,13,123,9.5,1,0,0,-,0,18.3,Cooper Kupp
15,SEA,W 20-10,13,9,136,15.1,2,1,1,1,0,25.7,Cooper Kupp
16,at MIN,W 30-23,13,10,109,10.9,0,1,4,4,0,11.3,Cooper Kupp
17,at BAL,W 20-19,7,6,95,15.8,1,0,0,-,0,15.5,Cooper Kupp
1,at DET,W 41-33,12,9,189,21,1,0,0,-,0,24.9,Deebo Samuel
2,at PHI,W 17-11,8,6,93,15.5,0,2,8,4,0,10.1,Deebo Samuel
3,GB,L 28-30,10,5,52,10.4,0,2,0,0,0,5.2,Deebo Samuel
4,SEA,L 21-28,12,8,156,19.5,2,1,1,1,0,27.7,Deebo Samuel
5,at ARI,L 10-17,9,3,58,19.3,0,1,13,13,1,13.1,Deebo Samuel
7,IND,L 18-30,11,7,100,14.3,1,0,0,-,0,16,Deebo Samuel
8,at CHI,W 33-22,9,6,171,28.5,0,0,0,-,0,17.1,Deebo Samuel
9,ARI,L 17-31,9,5,63,12.6,0,0,0,-,0,6.3,Deebo Samuel
10,LAR,W 31-10,5,5,97,19.4,1,5,36,7.2,1,25.3,Deebo Samuel
11,at JAC,W 30-10,2,1,15,15,0,8,79,9.9,1,15.4,Deebo Samuel
12,MIN,W 34-26,4,1,12,12,0,6,66,11,2,19.8,Deebo Samuel
14,at CIN,W 26-23,1,1,22,22,0,8,37,4.6,1,11.9,Deebo Samuel
15,ATL,W 31-13,5,4,60,15,0,6,29,4.8,1,14.9,Deebo Samuel
16,at TEN,L 17-20,11,9,159,17.7,0,5,32,6.4,0,19.1,Deebo Samuel
17,HOU,W 23-7,6,3,63,21,1,7,19,2.7,0,14.2,Deebo Samuel
1,at NO,L 3-38,7,5,56,11.2,0,0,0,-,0,5.6,Davante Adams
2,DET,W 35-17,9,8,121,15.1,0,0,0,-,0,12.1,Davante Adams
3,at SF,W 30-28,18,12,132,11,1,0,0,-,0,19.2,Davante Adams
4,PIT,W 27-17,11,6,64,10.7,0,0,0,-,0,6.4,Davante Adams
5,at CIN,W 25-22,16,11,206,18.7,1,0,0,-,0,26.6,Davante Adams
6,at CHI,W 24-14,5,4,89,22.3,0,0,0,-,0,8.9,Davante Adams
7,WAS,W 24-10,7,6,76,12.7,1,0,0,-,0,13.6,Davante Adams
9,at KC,L 7-13,14,6,42,7,0,0,0,-,0,4.2,Davante Adams
10,SEA,W 17-0,11,7,78,11.1,0,0,0,-,0,7.8,Davante Adams
11,at MIN,L 31-34,8,7,115,16.4,2,0,0,-,0,23.5,Davante Adams
12,LAR,W 36-28,9,8,104,13,0,0,0,-,0,10.4,Davante Adams
14,CHI,W 45-30,13,10,121,12.1,2,0,0,-,0,24.1,Davante Adams
15,at BAL,W 31-30,7,6,44,7.3,1,0,0,-,0,10.4,Davante Adams
16,CLE,W 24-22,13,10,114,11.4,2,0,0,-,0,23.4,Davante Adams
17,MIN,W 37-10,14,11,136,12.4,1,0,0,-,0,19.6,Davante Adams
1,at CIN,L 24-27,9,5,71,14.2,0,0,0,-,0,7.1,Justin Jefferson
2,at ARI,L 33-34,10,6,65,10.8,1,0,0,-,0,12.5,Justin Jefferson
3,SEA,W 30-17,11,9,118,13.1,1,0,0,-,0,17.8,Justin Jefferson
4,CLE,L 7-14,7,6,84,14,1,0,0,-,0,14.4,Justin Jefferson
5,DET,W 19-17,8,7,124,17.7,0,0,0,-,0,12.4,Justin Jefferson
6,at CAR,W 34-28,14,8,80,10,0,0,0,-,0,8,Justin Jefferson
8,DAL,L 16-20,4,2,21,10.5,0,0,0,-,0,2.1,Justin Jefferson
9,at BAL,L 31-34,5,3,69,23,1,1,11,11,0,14,Justin Jefferson
10,at LAC,W 27-20,11,9,143,15.9,0,1,-4,-4,0,13.9,Justin Jefferson
11,GB,W 34-31,10,8,169,21.1,2,1,3,3,0,29.2,Justin Jefferson
12,at SF,L 26-34,9,4,83,20.8,0,0,0,-,0,8.3,Justin Jefferson
13,at DET,L 27-29,14,11,182,16.5,1,1,4,4,0,24.6,Justin Jefferson
14,PIT,W 36-28,15,7,79,11.3,1,1,-4,-4,0,13.5,Justin Jefferson
15,at CHI,W 17-9,10,4,47,11.8,1,0,0,-,0,10.7,Justin Jefferson
16,LAR,L 23-30,12,8,116,14.5,0,0,0,-,0,11.6,Justin Jefferson
17,at GB,L 10-37,11,6,58,9.7,0,0,0,-,0,5.8,Justin Jefferson
1,MIN,W 27-24,7,5,101,20.2,1,1,-2,-2,0,15.9,Jamarr Chase
2,at CHI,L 17-20,4,2,54,27,1,0,0,-,0,11.4,Jamarr Chase
3,at PIT,W 24-10,5,4,65,16.3,2,0,0,-,0,18.5,Jamarr Chase
4,JAC,W 24-21,9,6,77,12.8,0,0,0,-,0,7.7,Jamarr Chase
5,GB,L 22-25,10,6,159,26.5,1,0,0,-,0,21.9,Jamarr Chase
6,at DET,W 34-11,6,4,97,24.3,0,0,0,-,0,9.7,Jamarr Chase
7,at BAL,W 41-17,10,8,201,25.1,1,0,0,-,0,26.1,Jamarr Chase
8,at NYJ,L 31-34,9,3,32,10.7,1,1,9,9,0,10.1,Jamarr Chase
9,CLE,L 16-41,13,6,49,8.2,0,2,0,0,0,4.9,Jamarr Chase
11,at LV,W 32-13,6,3,32,10.7,1,2,8,4,0,10,Jamarr Chase
12,PIT,W 41-10,3,3,39,13,0,0,0,-,0,3.9,Jamarr Chase
13,LAC,L 22-41,8,5,52,10.4,0,0,0,-,0,5.2,Jamarr Chase
14,SF,L 23-26,8,5,77,15.4,2,1,6,6,0,20.3,Jamarr Chase
15,at DEN,W 15-10,4,1,3,3,0,0,0,-,0,0.3,Jamarr Chase
16,BAL,W 41-21,10,7,125,17.9,0,0,0,-,0,12.5,Jamarr Chase
17,KC,W 34-31,12,11,266,24.2,3,0,0,-,0,44.6,Jamarr Chase
1,CLE,W 33-29,15,11,197,17.9,1,1,4,4,0,26.1,Tyreek Hill
2,at BAL,L 35-36,4,3,14,4.7,0,1,15,15,0,2.9,Tyreek Hill
3,LAC,L 24-30,7,5,56,11.2,0,1,11,11,0,6.7,Tyreek Hill
4,at PHI,W 42-30,12,11,186,16.9,3,0,0,-,0,36.6,Tyreek Hill
5,BUF,L 20-38,13,7,63,9,0,1,15,15,0,7.8,Tyreek Hill
6,at WAS,W 31-13,12,9,76,8.4,1,0,0,-,0,13.6,Tyreek Hill
7,at TEN,L 3-27,9,6,49,8.2,0,1,18,18,0,6.7,Tyreek Hill
8,NYG,W 20-17,18,12,94,7.8,1,0,0,-,0,15.4,Tyreek Hill
9,GB,W 13-7,11,4,37,9.3,0,1,-4,-4,0,3.3,Tyreek Hill
10,at LV,W 41-14,10,7,83,11.9,2,1,2,2,0,20.5,Tyreek Hill
11,DAL,W 19-9,11,9,77,8.6,0,1,33,33,0,11,Tyreek Hill
13,DEN,W 22-9,5,2,22,11,0,0,0,-,0,2.2,Tyreek Hill
14,LV,W 48-9,4,4,76,19,0,0,0,-,0,7.6,Tyreek Hill
15,at LAC,W 34-28,13,12,148,12.3,1,0,0,-,0,20.8,Tyreek Hill
16,PIT,W 36-10,2,2,19,9.5,0,0,0,-,0,1.9,Tyreek Hill
17,at CIN,L 31-34,10,6,40,6.7,0,1,2,2,0,4.2,Tyreek Hill
1,PIT,L 16-23,14,9,69,7.7,0,0,0,-,0,6.9,Stefon Diggs
2,at MIA,W 35-0,8,4,60,15,1,0,0,-,0,12,Stefon Diggs
3,WAS,W 43-21,10,6,62,10.3,0,0,0,-,0,6.2,Stefon Diggs
4,HOU,W 40-0,10,7,114,16.3,0,0,0,-,0,11.4,Stefon Diggs
5,at KC,W 38-20,5,2,69,34.5,0,0,0,-,0,6.9,Stefon Diggs
6,at TEN,L 31-34,11,9,89,9.9,1,0,0,-,0,14.9,Stefon Diggs
8,MIA,W 26-11,7,5,40,8,1,0,0,-,0,10,Stefon Diggs
9,at JAC,L 6-9,8,6,85,14.2,0,0,0,-,0,8.5,Stefon Diggs
10,at NYJ,W 45-17,13,8,162,20.3,1,0,0,-,0,22.2,Stefon Diggs
11,IND,L 15-41,6,4,23,5.8,2,0,0,-,0,14.3,Stefon Diggs
12,at NO,W 31-6,9,7,74,10.6,1,0,0,-,0,13.4,Stefon Diggs
13,NE,L 10-14,7,4,51,12.8,0,0,0,-,0,5.1,Stefon Diggs
14,at TB,L 27-33,13,7,74,10.6,0,0,0,-,0,7.4,Stefon Diggs
15,CAR,W 31-14,7,4,35,8.8,1,0,0,-,0,9.5,Stefon Diggs
16,at NE,W 33-21,13,7,85,12.1,1,0,0,-,0,14.5,Stefon Diggs
17,ATL,W 29-15,9,5,52,10.4,0,0,0,-,0,5.2,Stefon Diggs
1,DAL,W 31-29,6,3,24,8,0,0,0,-,0,2.4,Mike Evans
2,ATL,W 48-25,9,5,75,15,2,0,0,-,0,19.5,Mike Evans
3,at LAR,L 24-34,10,8,106,13.3,0,0,0,-,0,10.6,Mike Evans
4,at NE,W 19-17,12,7,75,10.7,0,0,0,-,0,7.5,Mike Evans
5,MIA,W 45-17,8,6,113,18.8,2,0,0,-,0,23.3,Mike Evans
6,at PHI,W 28-22,4,2,27,13.5,0,0,0,-,0,2.7,Mike Evans
7,CHI,W 38-3,10,6,76,12.7,3,0,0,-,0,25.6,Mike Evans
8,at NO,L 27-36,4,2,48,24,1,0,0,-,0,10.8,Mike Evans
10,at WAS,L 19-29,3,2,62,31,1,0,0,-,0,12.2,Mike Evans
11,NYG,W 30-10,11,6,73,12.2,1,1,10,10,0,14.3,Mike Evans
12,at IND,W 38-31,5,3,16,5.3,0,0,0,-,0,1.6,Mike Evans
13,at ATL,W 30-17,10,7,99,14.1,0,0,0,-,0,9.9,Mike Evans
14,BUF,W 33-27,6,6,91,15.2,1,0,0,-,0,15.1,Mike Evans
15,NO,L 0-9,1,1,14,14,0,0,0,-,0,1.4,Mike Evans
17,at NYJ,W 28-24,7,4,47,11.8,1,0,0,-,0,10.7,Mike Evans
1,at BUF,W 23-16,10,5,36,7.2,1,0,0,-,0,9.6,Diontae Johnson
2,LV,L 17-26,12,9,105,11.7,0,0,0,-,0,10.5,Diontae Johnson
4,at GB,L 17-27,13,9,92,10.2,1,0,0,-,0,15.2,Diontae Johnson
5,DEN,W 27-19,2,2,72,36,1,0,0,-,0,13.2,Diontae Johnson
6,SEA,W 23-20,13,9,71,7.9,0,1,25,25,0,9.6,Diontae Johnson
8,at CLE,W 15-10,13,6,98,16.3,0,0,0,-,0,9.8,Diontae Johnson
9,CHI,W 29-27,6,5,56,11.2,0,2,11,5.5,0,6.7,Diontae Johnson
10,DET,T 16-16,13,7,83,11.9,0,0,0,-,0,8.3,Diontae Johnson
11,at LAC,L 37-41,13,7,101,14.4,1,0,0,-,0,16.1,Diontae Johnson
12,at CIN,L 10-41,14,9,95,10.6,0,0,0,-,0,9.5,Diontae Johnson
13,BAL,W 20-19,11,8,105,13.1,2,0,0,-,0,22.5,Diontae Johnson
14,at MIN,L 28-36,10,5,76,15.2,0,1,7,7,0,8.3,Diontae Johnson
15,TEN,W 19-13,5,5,38,7.6,0,1,10,10,0,4.8,Diontae Johnson
16,at KC,L 10-36,9,6,51,8.5,1,0,0,-,0,11.1,Diontae Johnson
17,CLE,W 26-14,15,8,31,3.9,1,0,0,-,0,9.1,Diontae Johnson
1,at WAS,W 20-16,12,8,82,10.3,1,0,0,-,0,14.2,Mike Williams
2,DAL,L 17-20,10,7,91,13,1,0,0,-,0,15.1,Mike Williams
3,at KC,W 30-24,9,7,122,17.4,2,0,0,-,0,24.2,Mike Williams
4,LV,W 28-14,4,1,11,11,0,0,0,-,0,1.1,Mike Williams
5,CLE,W 47-42,16,8,165,20.6,2,0,0,-,0,28.5,Mike Williams
6,at BAL,L 6-34,5,2,27,13.5,0,0,0,-,0,2.7,Mike Williams
8,NE,L 24-27,5,2,19,9.5,0,0,0,-,0,1.9,Mike Williams
9,at PHI,W 27-24,5,2,58,29,0,0,0,-,0,5.8,Mike Williams
10,MIN,L 20-27,6,4,33,8.3,0,0,0,-,0,3.3,Mike Williams
11,PIT,W 41-37,6,5,97,19.4,1,0,0,-,0,15.7,Mike Williams
12,at DEN,L 13-28,8,4,39,9.8,0,0,0,-,0,3.9,Mike Williams
13,at CIN,W 41-22,7,5,110,22,0,0,0,-,0,11,Mike Williams
14,NYG,W 37-21,6,6,61,10.2,0,0,0,-,0,6.1,Mike Williams
15,KC,L 28-34,9,3,49,16.3,0,0,0,-,0,4.9,Mike Williams
17,DEN,W 34-13,4,3,63,21,1,0,0,-,0,12.3,Mike Williams